authors,series,series_index,timestamp,tags,formats,isbn,identifiers,languages,#kanon,comments,library_name,rating,cover,pubdate,#przeczytane,size,author_sort,title,title_sort,publisher,#chomik,#format,id,#kiedy,uuid
David Eddings,Belgariada,3.0,2010-11-22T00:53:17+01:00,Fantasy,"epub, rtf",9788373379428,isbn:9788373379428,,39,"### Review

""Absorbing. Touches all the right Fantasy bases. Warring gods, political intrigues, supernatural creatures, and appealingly human magicians."" -- *Publishers Weekly*

""Exactly the kind of fantasy I like. It has magic, adventure, humor, mystery, and a certain delightful human insight."" -- *Piers Anthony*

""Fabulous! Eddings has a marvelous storyteller style. Exceedingly well portrayed."" -- *Anne McCaffrey*

### Product Description

Ce'Nedra, Imperial Princess of Tolnedra, had joined a dangerous mission to recover the stolen Orb that supposedly protected the West from the evil God Torak. And somehow, she found herself feeling quite tender for Garion, the innocent farm boy, who would be forced into the strange tower in the center of all evil to retrieve the Orb by himself. 
",Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/David Eddings/Gambit magika (65)/cover.jpg,2005-01-15T00:00:00+01:00,,1226183,"Eddings, David",Gambit magika,Gambit magika,Prószyński i S-ka,,,65,,d4ccf901-4853-43d6-a3bf-06266d1a9321
David Eddings,Belgariada,2.0,2010-11-22T00:53:17+01:00,,"epub, rtf",9788373377684,isbn:9788373377684,,39,,Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/David Eddings/Krolowa magii (66)/cover.jpg,2004-11-15T00:00:00+01:00,,1386163,"Eddings, David",Królowa magii,Królowa magii,Prószyński i S-ka,,,66,,72f252b2-bb2c-4f3a-9fda-62e3dd06d71b
Alan Dean Foster,Spellsinger,2.0,2010-11-22T00:53:18+01:00,Fantasy,"epub, txt",9781857231441,isbn:9781857231441,,38,SUMMARY: Science fiction,Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Alan Dean Foster/The hour of the gate (67)/cover.jpg,1991-11-15T00:00:00+01:00,,473734,"Foster, Alan Dean",The hour of the gate,"hour of the gate, The",Orbit,,,67,,ace0ef39-0e7d-484f-b672-f6bc60114bc2
Alan Dean Foster,Spellsinger,3.0,2010-11-22T00:53:19+01:00,,"epub, txt",9781857231434,isbn:9781857231434,,38,"SUMMARY: Clothahump the wizard is dying. He can be saved only by the skill of the Spellsinger, who faces a perilous journey to help the wizard",Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Alan Dean Foster/Day of the Dissonance (68)/cover.jpg,1992-11-15T00:00:00+01:00,,544673,"Foster, Alan Dean",Day of the Dissonance,Day of the Dissonance,Orbit,,,68,,5aa4f8c3-1dd4-48da-9482-8e7c61f6ea35
Alan Dean Foster,Spellsinger,5.0,2010-11-22T00:53:20+01:00,Fantasy,"epub, txt",9781857230918,isbn:9781857230918,,38,"<h3>From Publishers Weekly</h3><p>Foster's Spellsinger series follows the adventures of Jonathan Thomas Meriweather, a law student and budding rock musician who's been transported to a world of talking animals. Here, his songs have a magical power, which he uses to aid his friend, the aging wizard Clothahump. Their latest challenge begins as an SF version of Kafka's ""Metamorphosis"": they awake transformed into crabs. Other such temporary changes offer them visions of their hearts' desires, switch their sexes, etc. It's all the work of a trapped perambulator, a powerful, primal creature that drifts through alternate universes, leaving changes behind it. Their struggle to free the perambulator and save their world is full of the usual Foster inventiveness, but the limited characters are wearing thin. This is one of the weaker entries in an amiable series. November 8<br />Copyright 1985 Reed Business Information, Inc. </p><h3>Product Description</h3><p>With Clothahump and Mudge the Otter, Jonathan Meriweather, the Spellsinger, now faces the greatest challenge of all - for the mysterious Perambulator is threatening the very fabric of the universe. </p>",Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Alan Dean Foster/The Paths of the Perambulator (70)/cover.jpg,1992-11-15T00:00:00+01:00,,520026,"Foster, Alan Dean",The Paths of the Perambulator,"Paths of the Perambulator, The",Orbit,,,70,,fcfa98f6-c653-4019-a424-246e0559dfa2
Barbara Hambly,Winterlands,1.0,2010-11-22T00:53:20+01:00,"Fantasy, Wizards","epub, rtf",9780345349392,isbn:9780345349392,,55,"<h3>Product Description</h3><p>When the Black Dragon seized the Deep of Ylferdun, young Gareth braved the far Winterlands to find John Aversin, Dragonsbane -- the only living man ever to slay a dragon. In return for the promise of the King to send help to the Winterlands, Aversin agreed to attempt the nearly impossible feat again.</p><p>With them, to guard them on the haunted trip south, went Jenny Waynest, a half-taught sorceress and mother of Aversin's sons.</p><p>But at the decadent Court, nothing was as expected. Rebellion threatened the land. Zyerne, a sorceress of seemingly unlimited power, held the King under an evil spell, and he refused to see them. Meantime, the dragon fed well on the knights who had challenged him.</p><p>In the end, Aversin, Jenny, and Gareth had to steal away at night to challenge Morkeleb, largest and wisest of dragons.</p><p>But that was only the beginning of the perils they must face. </p>",Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Barbara Hambly/Dragonsbane (71)/cover.jpg,1987-05-12T00:00:00+02:00,True,686729,"Hambly, Barbara",Dragonsbane,Dragonsbane,DELREY,,,71,2010-04-28T00:00:00+02:00,743399db-318c-496c-92af-7402751fcaee
Elizabeth Haydon,Symphony of Ages,1.0,2010-11-22T00:53:21+01:00,Fantasy,epub,9780812570816,isbn:9780812570816,,81,"<h3>Amazon.com Review</h3><p><em>Rhapsody</em> is high fantasy, descended from Tolkien's <strong> through Eddings's </strong>, Haydon's magic worldbuilding is convincing, consistent, and interesting. </p><p>Rhapsody, a young woman trained as a Namer, can attune herself to the vibrations of all things, tap the power of true names, and rename people, changing their basic identities. Her magic lies in music: ""Music is nothing more than the maps through the vibrations that make up all the world. If you have the right map, it will take you wherever you want to go,"" she tells her adoptive brothers. <em>They</em> are ""the Brother,"" a professional assassin able to sense and track the heartbeats of all natives of the doomed Island of Seren, their homeland, and his giant sidekick Grunthor, a green-skinned Sergeant Major who enjoys making jokes, using edged weapons, and honing his cannibalistic palate. Inadvertently, Rhapsody has renamed the Brother Achmed the Snake, breaking his enslavement to Tsoltan the F'dor (a fire-born demon). Tsoltan sends minions in pursuit to rebind Achmed. The three escape into the roots of a World Tree, Sagia, emerging transformed into another country and century. But have they truly escaped the F'dor's evil? And how does all this relate to the prologue's story of Gwydion and Emily, two young lovers brought together across history and then separated by the mysterious Meridion?</p><p>Like most first volumes, <em>Rhapsody</em> contains a lot of background information and foreshadowing, though Haydon ties up numerous plot lines at the end. The dislocations in time can be confusing, and some readers may find that the very 1990s dialogue clashes with the epic storytelling of the descriptive passages. Overall, however, <em>Rhapsody</em> is a smashing debut that delivers hours of great reading and will have you impatient to read the rest of the series. <em>--Nona Vero</em></p><h3>From Publishers Weekly</h3><p>Distinguished by superior wit and intelligence, this fantasy debut opens what looks to be an outstanding saga. In the ancient city of Easton, Rhapsody is learning musical magic after a brief time as a courtesan. While running from trouble caused by one of her ex-clients, she encounters two strangers, the assassin Achmed and the gigantic mercenary Grunthor. By hailing Achmed as her brother, Rhapsody not only saves her own life but breaks the control that the sorcerer Tsoltan, a servant of the fire demons known as F'dor, had over the mercenary. The three companions flee both human and magical forces that pursue them by climbing down the root of the Great Tree; as they pass through the fire at the center of Earth, their situation is magically transformed. They emerge not just on the other side of the world but 14 centuries in the future, when the land is torn by ethnic, religious and magical warfare arising from a multitude of realistic motivesAall depicted in exhaustive detail. But their demonic pursuers have also crossed time and space in pursuit; to counter them, Achmed determines to become king of the barbaric Firbolg. This huge and complex novel draws expertly on deep scholarship in Celtic, Norse and animist folklore, myth and history. With exemplary skill, it weaves these elements into its characterizations, world building and depiction of magic to create a narrative that grips throughout. This is one of the finest high fantasy debuts in years. Agent, Richard Curtis. 100,000 first printing; major ad/promo. <br />Copyright 1999 Reed Business Information, Inc. </p>",Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Elizabeth Haydon/Rhapsody_ child of blood (72)/cover.jpg,2000-05-28T00:00:00+02:00,True,578316,"Haydon, Elizabeth",Rhapsody: child of blood,Rhapsody: child of blood,Tom Doherty Associates,,DONE,72,2010-05-28T00:00:00+02:00,678e72ec-2ffe-4b41-ba0b-8eeb1ae29bec
Elizabeth Haydon,Symphony of Ages,2.0,2010-11-22T00:53:21+01:00,Fantasy,"epub, rtf",9780812570823,isbn:9780812570823,,81,"<h3>Amazon.com Review</h3><p>Three cheers for Elizabeth Haydon! One great book (__) might be a fluke. But its sequel, <em>Prophecy: Child of Earth</em>, keeps right on developing great characters in a believable fantasy world without sacrificing the momentum of a terrific story. Best of all, Haydon promises to bring the current adventure to a conclusion in the next book, so no need to fear TNS (the never-ending saga).</p><p><em>Prophecy</em> continues the stories of Rhapsody, the Namer who uses song, herb-lore, and affinities with fire and starlight to heal and protect, and her adoptive family: Achmed the Snake, an obnoxious former assassin and King of the savage Firbolg race, and Grunthor, his huge, cheerfully cannibalistic sidekick. Rhapsody travels in the company of the mysterious Ashe, who becomes much less mysterious as the story progresses. She meets a dragon, trains with a Lirin swordmistress who once carried Rhapsody's fiery sword, Daystar Clarion, and races to prevent the assassination of the Patriarch of Sepulvarta. Meanwhile, Achmed and Grunthor discover secrets of their mountain stronghold and learn more of their own powers. Together they repel renewed attacks by the F'dor, a demon seeking apocalyptic destruction. But they have not yet identified the demon's host or disarmed all of its agents, and time is running out.</p><p>Fans of epic fantasy will find Haydon a worthy successor to <em>--Nona Vero</em></p><h3>From Publishers Weekly</h3><p>A sequel to Haydon's acclaimed first novel, Rhapsody, this is a novel of modest virtues. Again following the adventures of Rhapsody (the Cymrian Namer) and her friends King Achmed of the Firbolg and the giant Grunthor, the narrative recounts their battles with the demonic F'dor. Although Grunthor is the Child of Earth to whom the title refers, most of the action revolves around Ashe, half of whose soul has been torn away by the F'dor and used to create the monstrous Rakshas. The Rakshas (which, to make things worse, looks exactly like Ashe) is going about killing innocent people and plotting to destabilize the power of local governments. After Rhapsody falls in love with Ashe, she sets out (with the help of Achmed and Grunthor) to kill the Rakshas and to end the F'dor's hold over Ashe. This will clear the way for Ashe to reunite the warring Cymrian factions by becoming Lord Cymrian. As they fight their way to this conclusion, Haydon's three heroes must also protect the Sleeping Child, a mystical creature who's likewise threatened by the F'dorAand Rhapsody must train herself to use her magic sword, which can link her to the element of fire. Although the characters are appealing and Haydon's world intriguing, things there are so complicated that they require an excessive amount of backstoryAexplanations of what happened in the previous volume and in Cymrian history. Although impressive, these explanations tend to appear at inopportune moments and break the adventure's pace. The romance between Ashe and Rhapsody is, however, charming, and the novel has enough magic, good fights and thrilling love scenes to make it a keeper. (July) <br />Copyright 2000 Reed Business Information, Inc. </p>",Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Elizabeth Haydon/Prophecy_ Child of Earth (73)/cover.jpg,2001-08-02T00:00:00+02:00,,1812830,"Haydon, Elizabeth",Prophecy: Child of Earth,Prophecy: Child of Earth,Tor,,,73,,43f64f26-d29b-4ac8-b1a8-0f0ff3f8073e
Elizabeth Haydon,Symphony of Ages,3.0,2010-11-22T00:53:22+01:00,Fantasy,"epub, rtf",9780812570830,isbn:9780812570830,,81,"<h3>Amazon.com Review</h3><p>In a book world awash in sword-slinging fantasy novels, each trying to out-Jordan the other, the arrival of yet another big new series on the scene is... no big deal. But much to the delight of readers bored to tears by doorstopper clones, Elizabeth Haydon's three-part tale is unique, thrilling, and utterly romantic from start to finish. The story of a magical singer of extraordinary power and her battle with a blood-soaked demon began in <em>Rhapsody: Child of Blood</em> and continued in <em>Prophecy: Child of Earth</em>. The trilogy's final volume, <em>Destiny: Child of the Sky</em> offers fantasy fans something they crave, but don't often see--a great ending.</p><p>When last we saw our lovely heroine Rhapsody and her two best friends Achmed and Grunthor, they had just rescued the Sleeping Child from the evil tendrils of the F'dor. But as they found out through the tragic loss of their young friend Jo, the three must follow the demon's trail of violence and blood, finding the children it has spawned across the land in order to track it down and destroy it once and for all. As in the previous two books, Rhapsody's love of her friends and desire to save children in danger drive her most reckless actions. </p><p>Elizabeth Haydon delivers us from the fantasy traps of never-ending plots, wooden characters, and yawn-inducing battles. She takes much of her style from romance and suspense novels, rather than historical fiction, giving her books real depth of emotion and humanity. It's true that there are spots of sentimentality that may leave some hardened adventure fans groaning, but that very thing may help explain why Haydon's books have succeeded with crossover romance readers so admirably. We can only hope she'll set her sights on another swoony adventure as soon as possible. <em>--Therese Littleton</em></p><h3>From Publishers Weekly</h3><p>Following Rhapsody: Child of Blood (2001) and Prophecy: Child of Earth (2000), Haydon concludes her high fantasy trilogy featuring the beautiful skysinger Rhapsody, who generates magic from music, with a dark, cataclysmic book filled with almost constant action. With the evil Rakshas destroyed in volume two, Rhapsody and her two shady half-breed sidekicks, clairvoyant assassin Achmed and the jolly green giant Grunthor, undertake a quest for the blood of the Rakshas' children, which they hope will help them solve the mystery of the hidden demon F'dor, the creator of the murderous Rakshas. Wielding her fire sword, Rhapsody summons starfire and metaphysical music for her final confrontation with the demonic force intent on world destruction. Though obviously inspired by music theory, Norse and Celtic folklore, and seemingly by such authors as Tolkien, C.S. Lewis, Patricia A. McKillip, Anne McCaffrey and Palmer Brown (Cheerful), the author uses a fluid writing style to build a world uniquely and compellingly her own. In this shimmering symphony of exhaustive (though not exhausting) detail, epic myths, music and magic intertwine in a resounding fugal crescendo. Haydon fans sorry to see the end of the trilogy can take heart in knowing that the Rhapsody saga's vast historical timeline contains plenty of unexplored epochs and eras ripe for future book treatment. (Sept. 1) Elizabeth Glaser Pediatric AIDS Foundation in perpetuity.</p><p>Copyright 2001 Cahners Business Information, Inc.</p>",Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Elizabeth Haydon/Destiny_ Child of the Sky (74)/cover.jpg,2002-05-02T00:00:00+02:00,,2198834,"Haydon, Elizabeth",Destiny: Child of the Sky,Destiny: Child of the Sky,Tor,,,74,,5305a0b6-7f7f-4fe0-9e35-82fe7d0117a0
Elizabeth Haydon,Symphony of Ages,4.0,2010-11-22T00:53:23+01:00,Fantasy,"epub, rtf",9780812565416,isbn:9780812565416,,81,"<h3>Amazon.com Review</h3><p><em>Requiem for the Sun</em> is the standalone sequel to the <em>USA Today</em>-bestselling Rhapsody trilogy (__ , <strong> , and </strong> ). This novel will please fans of Elizabeth Haydon's high-fantasy series, but it may confuse newcomers because numerous characters from the trilogy return, and most are introduced in the book's early pages. </p><p>In the peace following the events of the trilogy, the singer Rhapsody believes she and her husband, the part-dragon Lord Cymrian, can at last start a family. Meanwhile, the assassin-king Achmed seeks to rebuild Canrif, his mountain capital. Then Lord Cymrian rejects Rhapsody's heart's desire; the giant Sergeant-Major Grunthor hears the earth itself screaming; the Dowager Empress of Sorbold, a realm of deep magic, dies under suspicious circumstances; and a powerful unknown enemy, as ancient and youthful as Rhapsody, seeks stealthily to steal her for himself. <em>--Cynthia Ward</em></p><h3>From Publishers Weekly</h3><p>There's something utterly refreshing about a fantasy hero and heroine, half-human masters of the elements and rulers of a continent, whose private names for each other are Sam and Emily. With bright and tender touches like these, Haydon breathes new life into fantasy cliches in this sequel to her bestselling Rhapsody trilogy. The fierce, compassionate and exquisitely gorgeous Rhapsody and her draconian husband, Ashe along with their longtime companions, Achmed, King of the Firbolg, and the ferocious but kindhearted Sergeant-Major Grunthor once more take on an evil F'dor demon and its human host, a man Rhapsody believed long dead. The author has smoothed out many of the rough edges evident in Rhapsody (1999), Prophecy (2000) and Destiny (2001), toning down the most overt references to the series' roots in Welsh mythology and Regency bodice-rippers. At the same time, the stated history and dropped hints, as well as style and tone, remain consistent with earlier volumes. Unfortunately, the characters change little or not at all throughout the course of the story, but the rich complexities of historical subtext, unsubtle scheming of religious and political leaders and classical romantic elements are enough to keep the pages turning. Although quite readable as a stand-alone work, the many loose threads left untied promise numerous future volumes, which are certain to be devoured by Haydon's growing legions of fans.<br />Copyright 2002 Reed Business Information, Inc. </p>",Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Elizabeth Haydon/Requiem for the Sun (75)/cover.jpg,2003-05-01T00:00:00+02:00,,1512177,"Haydon, Elizabeth",Requiem for the Sun,Requiem for the Sun,Tor,,,75,,0e5eb4dc-df26-4599-bab8-8cb00f5311a5
Elizabeth Haydon,Symphony of Ages,5.0,2010-11-22T00:53:23+01:00,Fantasy,"epub, rtf",9780812541922,isbn:9780812541922,,81,"<h3>From Publishers Weekly</h3><p>Unlike most middle books of fantasy trilogies, Haydon's dazzling second volume of the second trio of her bestselling Symphony of the Ages series (_Rhapsody: Child of Blood_, etc.) inspires and thrills all on its own. The story focuses on the beautiful Rhapsody and her half-dragon husband, Ashe, in what seems to be the calm following the storm of <em>Requiem for the Sun </em>(2003). Their ward Gwydion comes of age with merry ceremony, their friends Achmed and Grunthor continue to rebuild the kingdom of Ylorc, and Rhapsody's pregnancy progresses as well as can be expected given her child's odd heritage. But others are also coming into power, including Anwyn, a malevolent seer, and Talquist, the depraved emperor of Sorbold. The ominous rumble of their scheming intensifies in a crescendo of fear and tragedy that leaves the reader breathless and not a little teary-eyed. Those who eagerly anticipated this volume will be even more desperate for the next, and if the author's stunning rate of improvement is anything to go by, it will be well worth the wait. <br />Copyright © Reed Business Information, a division of Reed Elsevier Inc. All rights reserved. </p><h3>From</h3><p>A compelling fifth book continues the richly detailed, complex Symphony of Ages saga, begun in <em>Rhapsody: Child of Blood</em> (1999), by taking up where <em>Requiem for the Sun</em> (2002) left off to relate events presaging a devastating war. The dragon Anwyn, thought dead for three years, arouses, bent on destruction and the death of Rhapsody, who had so sorely wounded her. A rift develops between Achmed and Rhapsody. Sixteen-year-old orphan Gwydion Navarne, ward of Rhapsody and her draconic husband, Ashe, is invested as duke in his father's place. Talquist, a despotic emperor presumptive, brings to life a gigantic earthen statue that has its own reasons for creating mayhem and murder. And Rhapsody, under the care of the dragon Elnsynos, Ashe's grandmother, gives birth to a son. The forces on each side assemble for the portended debacle. Haydon masterfully maintains characters, the world they inhabit, and the flux of epic adventure and turmoil to make this book worthy of the series and leave readers yearning for the rest of the story. <em>Sally Estes</em><br /><em>Copyright © American Library Association. All rights reserved</em></p>",Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Elizabeth Haydon/Elegy for a Lost Star (76)/cover.jpg,2005-03-28T00:00:00+02:00,,4355068,"Haydon, Elizabeth",Elegy for a Lost Star,Elegy for a Lost Star,Tom Doherty Associates,,,76,,643439e5-ddcf-43f1-b5a9-45e9f0d89aa9
John Myers Myers,,1.0,2010-11-22T00:53:24+01:00,"Magic, Fantasy","epub, pdf",9781886778528,isbn:9781886778528,,5,"<h3>From</h3><p>NESFA's latest publication should be greeted with cheers, toasts, and songs by quite a company of readers, for it celebrates a beloved classic of historical fantasy by putting it in hardcover for the first time, accompanied by some 160 pages of appreciation and annotation. Myers' best-known novel is the story of the shipwreck of A. Clarence Shandon, called Silverlock for the white streak in his hair, in the Commonwealth of Letters, where he meets Orpheus, visits Hell, fails to ride Pegasus, hears the tale of the Alamo recited in Norse verse forms, and encounters much else. The companionate material begins with four dedicated fans' introductions and includes biographical and bibliographical material on Myers, who was also a notable historian of the American West; a sampler of his verse; and the melodies, with tablature, of song-settings of five more poems. Vastly enriching appreciation of the novel is a generous reader's guide to its characters, places, special vocabulary, and allusions. <em>Roland Green</em><br /><em>Copyright © American Library Association. All rights reserved</em></p>",Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/John Myers Myers/Silverlock (77)/cover.jpg,2004-02-15T00:00:00+01:00,True,720623,"Myers, John Myers",Silverlock,Silverlock,NESFA Press,,,77,2010-03-26T00:00:00+01:00,c29e29c3-2f58-4f70-a385-e4c828254524
Fritz Leiber,Fafhrd and the Gray Mouser,7.0,2010-11-22T00:53:25+01:00,"Fantasy, To read","epub, txt",9780688085308,isbn:9780688085308,,8,"<h3>From Publishers Weekly</h3><p>""Leiber's first published story in 1939 began the Fafhrd and Graynnouncements has Grey/i don't know/we have this from the review/which the house supplied/pk Mouser series of sword and sorcery tales that concludes with the four entries in this volume. One of the great works of fantasy in this century, the sequence is unequaled in its ironic wit, mordant romanticism and baroque invention, as well as a range of tone and affect not usually associated with the genre,"" lauded PW. <br />Copyright 1990 Reed Business Information, Inc. </p><h3>From Library Journal</h3><p>The Nehwonian duo of Fafhrd and Gray Mouser face their greatest challenge against old enemies in The Mouser Goes Below , a new novel by sf/fantasy veteran Leiber. Together with three other stories, this seventh volume of bawdy adventures featuring the author's famous pair of heroes belongs in libraries where sword and sorcery is popular. JC<br />Copyright 1988 Reed Business Information, Inc. </p>",Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Fritz Leiber/The knight and knave of swords (78)/cover.jpg,1988-12-15T00:00:00+01:00,False,598955,"Leiber, Fritz",The knight and knave of swords,"knight and knave of swords, The",Morrow,,,78,,acdc7426-f57d-46c6-935e-19b6b55c590c
Neil Gaiman,,1.0,2010-11-22T00:53:35+01:00,Fantasy,"epub, txt",9780061689246,isbn:9780061689246,,82,"<h3>Amazon.com Review</h3><p><em>Stardust</em> is an utterly charming fairy tale in the tradition of __ and <strong>. Neil Gaiman, creator of the darkly elegant Sandman comics and author of </strong>, tells the story of young Tristran Thorn and his adventures in the land of Faerie. One fateful night, Tristran promises his beloved that he will retrieve a fallen star for her from beyond the Wall that stands between their rural English town (called, appropriately, Wall) and the Faerie realm. No one ever ventures beyond the Wall except to attend an enchanted flea market that is held every nine years (and during which, unbeknownst to him, Tristran was conceived). But Tristran bravely sets out to fetch the fallen star and thus win the hand of his love. His adventures in the magical land will keep you turning pages as fast as you can--he and the star escape evil old witches, deadly clutching trees, goblin press-gangs, and the scheming sons of the dead Lord of Stormhold. The story is by turns thrillingly scary and very funny. You'll love goofy, earnest Tristran and the talking animals, gnomes, magic trees, and other irresistible denizens of Faerie that he encounters in his travels. <em>Stardust</em> is a perfect read-aloud book, a brand-new fairy tale you'll want to share with a kid, or maybe hoard for yourself. (If you read it to kids, watch out for a couple of spicy sex bits and one epithet.) <em>--Therese Littleton</em></p><h3>From Publishers Weekly</h3><p><em>Starred Review.</em> Tristran Thorn falls in love with the prettiest girl in town and makes her a foolish promise: he says that he'll go find the falling star they both watched streak across the night sky. She says she'll marry him if he finds it, so he sets off, leaving his home of Wall, and heads out into the perilous land of faerie, where not everything is what it appears. Gaiman is known for his fanciful wit, sterling prose and wildly imaginative plots, and Stardust is no exception. Gaiman's silver-tongued narration vividly brings this production to life. Like the bards of old, Gaiman is equally proficient at telling tales as he is at writing them, and his pleasant British accent feels like a perfect match to the material. Gaiman's performance is an extraordinary achievement—if only all authors could read their own work so well. The audiobook also includes a brief, informative and enjoyable interview with Gaiman about the writing of the novel and his work in the audiobook studio. <br /><em>Copyright© American Library Association. All rights reserved</em></p>",Biblioteka calibre,,/home/amarcinkowski/Dropbox/Biblioteka calibre/Neil Gaiman/Stardust (80)/cover.jpg,2009-11-15T00:00:00+01:00,True,667644,"Gaiman, Neil",Stardust,Stardust,HarperCollins,,DONE,80,2011-10-05T00:00:00+02:00,c6143be7-6087-4f71-ac86-0de90ff6e45b
David Eddings,Belgariada,1.0,2010-11-22T00:53:35+01:00,,"epub, rtf",9788373376335,isbn:9788373376335,,39,"### Review

""Absorbing. Touches all the right Fantasy bases. Warring gods, political intrigues, supernatural creatures, and appealingly human magicians."" -- *Publishers Weekly*

""Fabulous! Eddings has a marvelous storyteller style. Exceedingly well portrayed."" -- *Anne McCaffrey*

Exactly the kind of fantasy I like. It has magic, adventure, humor, mystery, and a certain delightful human insight."" -- *Piers Anthony*

### Product Description

Garion the farm boy did not believe in magic dooms, but then he did not know that soon he would be on a quest of unparalleled magic and danger when the dread evil God Torak was reawakened. 
",Biblioteka calibre,,,2004-11-15T00:00:00+01:00,,1440258,"Eddings, David",Pionek proroctwa,Pionek proroctwa,Prószyński i S-ka,,,81,,d9cffa77-5e1a-4822-a237-00c79b9ce6aa
